section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
3UTRATG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,0,0,27,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0
3UTRnonATG,0.996415770609319,0.5,0.0,0.0,1.0,0.8489208633093526,0.023255813953488372,0.0,0.0,0,278,0,1,279,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.88,0.32659863237109044,0.94,0.16329931618554525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0
5UTRATG,0.9187192118226601,0.9144892244003409,0.8760330578512396,0.986046511627907,0.8429319371727748,0.9770851089735785,0.9774360281164464,0.9277899343544858,0.8432367908710774,212,161,30,3,406,0.9145811518324607,0.001607058418998072,0.9145811518324607,0.0016070584189980426,0.8626174216855748,0.00038441051509379657,0.9862303664921468,0.0032141168379961607,0.842931937172775,2.2316322462394835e-16,0.9771267234999043,0.0010030206149785983,0.9748749719918866,0.0010174666405323807,0.9202897584650529,0.0016150842425154573,0.8378150927173053,0.003652221428294546,188.37,0.6138963160572696,161.0,0.0,30.0,0.0,2.63,0.6138963160572695,382.0,0.0,0,0
5UTRnonATG,0.9872937606675517,0.7973902957664798,0.6896551724137931,0.6,0.9947805915329596,0.9701894451962111,0.6814671851085529,0.6417112299465241,0.636871984694017,60,5146,27,40,5273,0.79695,0.0038201353828672575,0.79695,0.003820135382867283,0.9900886561657978,0.012262828931119697,0.6,0.0,0.9939,0.007640270765734515,0.9702500000000001,0.006415283203870158,0.9740095616660027,0.007789774329960242,0.7471681092847713,0.00353009482080296,0.6462006728749081,0.010524970698144257,60.0,0.0,99.39,0.7640270765734508,0.61,0.7640270765734508,40.0,0.0,200.0,0.0,0,0
Annotated,0.9956076134699854,0.8735272459499264,0.9985250737463127,0.9970544918998527,0.75,0.9569219440353461,0.999723067142087,0.997789240972734,0.6686784315774463,677,3,1,2,683,0.875,0.0,0.875,0.0,0.7999999999999998,2.2316322462394835e-16,1.0,0.0,0.75,0.0,0.96125,0.04510439630076613,0.9671666666666667,0.04048527187826753,0.888888888888889,1.1158161231197418e-16,0.7745966692414836,2.2316322462394835e-16,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0,0
CDSATG,0.8383233532934131,0.8288750722961249,0.8018867924528302,0.9340659340659341,0.7236842105263158,0.9674667437825333,0.9764382680640343,0.8629441624365483,0.6802532014983836,85,55,21,6,167,0.8297368421052634,0.006151732445583061,0.8297368421052634,0.006151732445583022,0.7720133335878475,0.002302947005550889,0.9357894736842104,0.012303464891166096,0.7236842105263157,1.1158161231197418e-16,0.9680921052631579,0.004477139362091952,0.9731949229720072,0.003489588867587518,0.8460270927089673,0.006400804982055354,0.6749235084306211,0.014486825060561067,71.12,0.9350633317286238,55.0,0.0,21.0,0.0,4.88,0.9350633317286238,152.0,0.0,0,0
CDSnonATG,0.9604578563995838,0.5741935483870968,0.29411764705882354,0.16129032258064516,0.9870967741935484,0.7681581685744017,0.23302153468734363,0.20833333333333334,0.1988877346821042,5,918,12,26,961,0.5729032258064517,0.010869357281656038,0.5729032258064517,0.010869357281656038,0.9247619047619047,0.10190246925985696,0.16129032258064518,2.7895403077993544e-17,0.984516129032258,0.021738714563312053,0.7610405827263266,0.0389427705025154,0.7794641409271412,0.03987105815847061,0.2742136873715821,0.004969899791950236,0.26001857711452525,0.04971941614736034,5.0,0.0,30.52,0.6739001514626735,0.48,0.6739001514626735,26.0,0.0,62.0,0.0,0,0
all,0.9783222165212929,0.9583028618789917,0.9195402298850575,0.9302325581395349,0.9863731656184487,0.9923533392159983,0.9753469189322451,0.9248554913294798,0.9122109784628936,1040,6587,91,78,7796,0.9584257602862253,0.0014184217653971894,0.9584257602862253,0.0014184217653971927,0.9858281845632131,0.00296242771489933,0.930232558139535,1.1158161231197418e-16,0.9866189624329159,0.0028368435307943992,0.9924059342808043,0.0004661843225670759,0.9935771296589713,0.00046102636229703207,0.9572216634636526,0.0013968222126252235,0.9183166908166268,0.0029881086739064746,1040.0,0.0,1103.04,3.171591067428129,14.96,3.1715910674281287,78.0,0.0,2236.0,0.0,0,0
non-annotated,0.9766624490369745,0.9066970523767819,0.8013245033112583,0.826879271070615,0.9865148336829488,0.9810982406824019,0.8915982888563412,0.8139013452914798,0.8015676217381759,363,6584,90,76,7113,0.9067425968109336,0.00295090335067959,0.9067425968109336,0.0029509033506795934,0.984107714002856,0.006882812918308601,0.8268792710706147,3.3474483693592255e-16,0.9866059225512528,0.005901806701359184,0.980828607157497,0.0020031226470160913,0.9832595011080211,0.00216429204546578,0.8986574462995397,0.002876346518892573,0.8240864881291269,0.00676277977507079,363.0,0.0,433.12,2.590893141896684,5.88,2.5908931418966845,76.0,0.0,878.0,0.0,0,0
3UTRATG,0.8571428571428571,0.8571428571428571,0.0,0.0,0.8571428571428571,,,0.0,0.0,0,12,2,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
