section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
5UTRATG,0.8909574468085106,0.8843354655294954,0.8418803418803419,0.9800995024875622,0.7885714285714286,0.9801563610518834,0.9835132541982132,0.9057471264367816,0.7908705608063004,197,138,37,4,376,0.8843714285714286,0.001966740562325623,0.8843714285714286,0.001966740562325673,0.8225655879208514,0.0005839570703260244,0.9801714285714282,0.003933481124651319,0.7885714285714285,1.1158161231197418e-16,0.9802200816326532,0.0015289822618988688,0.9814118879202895,0.0013143431520260382,0.8944767033445231,0.0019809482664229017,0.783264221203342,0.004629950527154214,171.53,0.6883591968139772,138.0,0.0,37.0,0.0,3.47,0.6883591968139773,350.0,0.0,0,1
5UTRnonATG,0.9831642564213253,0.9329167068100465,0.42276422764227645,0.8813559322033898,0.9844774814167031,0.987382626933367,0.7842257721087712,0.5714285714285714,0.6039035757198754,52,4503,71,7,4633,0.9314406779661016,0.008940699265097562,0.9314406779661016,0.00894069926509752,0.9798460889215606,0.019181507166465817,0.8813559322033899,1.1158161231197418e-16,0.9815254237288136,0.017881398530195092,0.9861189313415687,0.005808802557327338,0.9868466480431163,0.0069818937312551505,0.927906633830815,0.00866974505568005,0.8674154814495699,0.019411349169613675,52.0,0.0,57.91,1.05500251328151,1.09,1.0550025132815102,7.0,0.0,118.0,0.0,0,1
Annotated,0.9981412639405205,0.75,0.9981378026070763,1.0,0.5,1.0,0.9999999999999999,0.9990680335507922,0.7064480881873332,536,1,1,0,538,0.75,0.0,0.75,0.0,0.6666666666666669,2.2316322462394835e-16,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.7999999999999998,2.2316322462394835e-16,0.5773502691896258,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0,1
CDSATG,0.8163265306122449,0.7567567567567568,0.7721518987341772,1.0,0.5135135135135135,0.9787328311918476,0.9868509067470923,0.8714285714285714,0.6296907451162975,61,19,18,0,98,0.7567567567567569,1.1158161231197418e-16,0.7567567567567569,1.1158161231197418e-16,0.6727272727272726,1.1158161231197418e-16,1.0,0.0,0.5135135135135135,0.0,0.9779912344777211,0.005861781260534351,0.9785945470101727,0.00536434640986539,0.8043478260869567,1.1158161231197418e-16,0.5877538136452588,1.1158161231197418e-16,37.0,0.0,19.0,0.0,18.0,0.0,0.0,0.0,74.0,0.0,0,1
CDSnonATG,0.9543147208121827,0.5829302543298487,0.42857142857142855,0.17647058823529413,0.9893899204244032,0.8503666718676861,0.3208120895193564,0.25,0.2551136087698403,3,373,4,14,394,0.5838235294117645,0.011352708736949197,0.5838235294117645,0.011352708736949197,0.9634999999999999,0.09207347746514874,0.1764705882352941,2.7895403077993544e-17,0.9911764705882353,0.022705417473898395,0.8510726643598615,0.056609562257110745,0.8480339753391335,0.05652305481105251,0.2978701298701298,0.0054524836342281545,0.2920986361975444,0.04826789754125196,3.0,0.0,16.85,0.3859920970562725,0.15,0.38599209705627263,14.0,0.0,34.0,0.0,0,1
all,0.9741679085941382,0.9730164303388633,0.8663265306122448,0.971395881006865,0.9746369796708616,0.9970333679647159,0.98774001667712,0.9158576051779935,0.902717213043265,849,5034,131,25,6039,0.9728489702517163,0.0025225413381755437,0.9728489702517163,0.0025225413381755406,0.9742518572119576,0.004930734605182134,0.9713958810068652,2.2316322462394835e-16,0.9743020594965677,0.005045082676351082,0.9970374511046295,0.00032249751862319976,0.997239517947433,0.0003248521958119768,0.9728156067185523,0.0024577849442872133,0.9457139255800352,0.005059598209867444,849.0,0.0,851.54,4.409402259130855,22.46,4.409402259130855,25.0,0.0,1748.0,0.0,0,1
non-annotated,0.971823304853663,0.9504281717775661,0.7065462753950339,0.9260355029585798,0.9748208405965524,0.9924697466153686,0.9381848370681991,0.8015364916773368,0.7950119892234108,313,5033,130,25,5501,0.9504881656804735,0.004646896337290273,0.9504881656804735,0.004646896337290273,0.9737439965616008,0.009480906855343878,0.9260355029585803,4.463264492478967e-16,0.974940828402367,0.009293792674580557,0.9925955848884841,0.0016105177524327256,0.9928353814878713,0.0018138635341969256,0.9492684070836481,0.004513552426884049,0.9020986802218931,0.009700223351678913,313.0,0.0,329.53,3.1413019240082254,8.47,3.141301924008225,25.0,0.0,676.0,0.0,0,1
3UTRATG,0.7142857142857143,0.7142857142857143,0.0,0.0,0.7142857142857143,,,0.0,0.0,0,10,4,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
3UTRnonATG,0.9772727272727273,0.4942528735632184,0.0,0.0,0.9885057471264368,0.4252873563218391,0.0196078431372549,0.0,-0.011494252873563218,0,86,1,1,88,0.49,0.07035264706814484,0.49,0.07035264706814484,0.0,0.0,0.0,0.0,0.98,0.14070529413628968,0.34,0.47609522856952335,0.67,0.23804761428476168,0.0,0.0,-0.02,0.14070529413628968,0.0,0.0,0.98,0.14070529413628968,0.02,0.14070529413628968,1.0,0.0,2.0,0.0,0,2
5UTRATG,0.8723958333333334,0.888422035480859,0.7708333333333334,0.9673202614379085,0.8095238095238095,0.977732507144272,0.9690254008070427,0.8579710144927536,0.7606490586017287,148,187,44,5,384,0.8899673202614382,0.010123901726426063,0.8899673202614382,0.010123901726426054,0.8379753995685902,0.014714242810625318,0.9673202614379083,2.2316322462394835e-16,0.8126143790849674,0.020247803452852105,0.9780255457302747,0.0029092534946328743,0.9786396943873666,0.0032996649152793266,0.8979460971314682,0.008442336762232602,0.7895502740012676,0.0179734898222553,148.0,0.0,124.33,3.0979139282863732,28.67,3.0979139282863732,5.0,0.0,306.0,0.0,0,2
