section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
3UTRATG,0.7777777777777778,0.8823529411764706,0.2,1.0,0.7647058823529411,1.0,1.0,0.3333333333333333,0.39107694443752145,1,13,4,0,18,0.87,0.22042200113840404,0.87,0.22042200113840404,0.87,0.22042200113840404,1.0,0.0,0.74,0.4408440022768081,1.0,0.0,1.0,0.0,0.9133333333333334,0.14694800075893602,0.74,0.4408440022768081,1.0,0.0,0.74,0.4408440022768081,0.26,0.4408440022768081,0.0,0.0,2.0,0.0,0,0
3UTRnonATG,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0,164,0,0,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
5UTRATG,0.8719806763285024,0.8856707317073171,0.7777777777777778,0.9583333333333334,0.8130081300813008,0.962979094076655,0.9394651477357286,0.8586666666666667,0.7575277146628927,161,200,46,7,414,0.8863392857142856,0.007887826436566747,0.8863392857142856,0.007887826436566745,0.8378714715207976,0.01163343107813415,0.9583333333333333,1.1158161231197418e-16,0.8143452380952381,0.015775652873133473,0.9636107568027211,0.004440109371698584,0.9577710408534785,0.006852351931885162,0.894020710338197,0.006601317701531994,0.7808836460953783,0.014166526762756449,161.0,0.0,136.81,2.6503096826864248,31.19,2.6503096826864243,7.0,0.0,336.0,0.0,0,0
5UTRnonATG,0.994263862332696,0.8616454858683711,0.7758620689655172,0.7258064516129032,0.997484520123839,0.9836556226905023,0.7546559160773586,0.75,0.7475270050480575,45,5155,13,17,5230,0.8620161290322581,0.0027830282838859663,0.8620161290322581,0.0027830282838859663,0.9976179463459761,0.007451299305998477,0.7258064516129029,3.3474483693592255e-16,0.998225806451613,0.0055660565677719325,0.9840556711758585,0.005996223579705334,0.9853245587419238,0.006617488041198394,0.8402662265283375,0.0026797807197840146,0.7525168222541145,0.006939795600419392,45.0,0.0,61.89,0.3450955072018601,0.11,0.3450955072018601,17.0,0.0,124.0,0.0,0,0
Annotated,0.9944649446494465,0.66573902288188,0.9962962962962963,0.9981447124304267,0.3333333333333333,0.9795918367346939,0.9998843375716134,0.9972196478220574,0.4055999585997123,538,1,2,1,542,0.6600000000000001,0.03282439759448871,0.6600000000000001,0.03282439759448871,0.596,0.019694638556693237,0.9866666666666666,0.06564879518897745,0.3333333333333334,1.1158161231197418e-16,0.9655555555555557,0.09030162423549493,0.9773333333333332,0.056796905855666165,0.7428571428571428,0.0351689974226665,0.42932505167995977,0.08807710121010882,2.96,0.1969463855669324,1.0,0.0,2.0,0.0,0.04,0.1969463855669324,6.0,0.0,0,0
CDSATG,0.9173553719008265,0.8704301075268817,0.925531914893617,0.9666666666666667,0.7741935483870968,0.97168458781362,0.9913209257355329,0.9456521739130435,0.7767702181691611,87,24,7,3,121,0.8685483870967744,0.013826339354658478,0.8685483870967741,0.013826339354658523,0.8099381223328591,0.0044559022157521205,0.9629032258064518,0.027652678709317,0.7741935483870971,3.3474483693592255e-16,0.969958376690947,0.017507906863493104,0.9783756882204269,0.011462319187756406,0.8797043728115987,0.01421011396198515,0.7510566331580034,0.032126317709612495,29.85,0.8572330399888262,24.0,0.0,7.0,0.0,1.15,0.8572330399888264,62.0,0.0,0,0
CDSnonATG,0.9621212121212122,0.6802317464749407,0.7,0.3684210526315789,0.9920424403183024,0.9364791288566243,0.5759493122728481,0.4827586206896552,0.4910380088273281,7,374,3,12,396,0.6802631578947371,0.010157686764638747,0.6802631578947371,0.010157686764638778,0.9815277777777777,0.046967151283245814,0.368421052631579,5.579080615598709e-17,0.9921052631578948,0.02031537352927752,0.9395567867036013,0.029165720976102653,0.93934922305337,0.0305889215294932,0.5354843304843304,0.007629902487358475,0.46210793425152985,0.033449191003650736,7.0,0.0,18.85,0.3859920970562725,0.15,0.38599209705627263,12.0,0.0,38.0,0.0,0,0
all,0.9832970225127088,0.9710031152010674,0.9179431072210066,0.9544937428896473,0.9875124875124875,0.996372607294109,0.982570772796767,0.935861684327942,0.926497481737265,839,5931,75,40,6885,0.970716723549488,0.0017518103090559066,0.9707167235494879,0.0017518103090559173,0.9865145083804269,0.0035617100817814927,0.9544937428896476,3.3474483693592255e-16,0.9869397042093291,0.003503620618111821,0.996335697950277,0.0005044319332585586,0.9965266881211032,0.0005356313711862596,0.9702368687734125,0.0017251630574925585,0.9419355045533202,0.003607600344108342,839.0,0.0,867.52,3.079682523320293,11.48,3.079682523320293,40.0,0.0,1758.0,0.0,0,0
non-annotated,0.9823427400283777,0.9365667656367894,0.8048128342245989,0.8852941176470588,0.9878394136265201,0.9910931789007457,0.9130423424581975,0.8431372549019608,0.8348677913211793,301,5930,73,39,6343,0.935794117647059,0.002882813694726736,0.935794117647059,0.002882813694726736,0.9847943713598791,0.006311073195767518,0.8852941176470587,1.1158161231197418e-16,0.9862941176470588,0.005765627389453513,0.9906990484429065,0.001743313007620102,0.9906622138403782,0.0021821169704067055,0.932387776421063,0.0028297711186318075,0.8760864492337948,0.006308569176334852,301.0,0.0,335.34,1.9603133124141872,4.66,1.9603133124141874,39.0,0.0,680.0,0.0,0,0
5UTRATG,0.8856382978723404,0.882686567164179,0.8691588785046729,0.9253731343283582,0.84,0.963866382373845,0.9714688476121203,0.8963855421686747,0.7709493966936227,186,147,28,15,376,0.8830285714285715,0.0034891237790329642,0.8830285714285715,0.003489123779032966,0.852672109631164,0.000942038488784385,0.9260571428571428,0.006978247558065928,0.8400000000000002,2.2316322462394835e-16,0.963945469387755,0.002486670688128062,0.968044299954211,0.002130106084155093,0.8878417623604562,0.003710810873081668,0.7689330953618149,0.007488915874641943,162.06,1.22119332266154,147.0,0.0,28.0,0.0,12.94,1.22119332266154,350.0,0.0,0,1
