section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
3UTRATG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,32,0,0,34,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0
3UTRnonATG,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0,332,0,0,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
5UTRATG,0.8895705521472392,0.8952082057562768,0.8298755186721992,0.9389671361502347,0.8514492753623188,0.9466387698169694,0.9215257255701865,0.8810572687224669,0.7839095044235544,200,235,41,13,489,0.8946244131455399,0.006050850697836809,0.8946244131455399,0.006050850697836811,0.8625836873164203,0.009614021465409324,0.9389671361502349,1.1158161231197418e-16,0.8502816901408451,0.012101701395673606,0.9466736097335187,0.00495648973323314,0.9379195838780541,0.00742285214603496,0.8991285735172018,0.005216322676484814,0.7924174447501939,0.011304469250470399,200.0,0.0,181.11,2.577662397278479,31.89,2.5776623972784787,13.0,0.0,426.0,0.0,0,0
5UTRnonATG,0.9881258023106547,0.8513559850068676,0.5412844036697247,0.7108433734939759,0.9918685965197593,0.986913338832644,0.6708873096634947,0.6145833333333334,0.6145019500477447,59,6099,50,24,6232,0.8519879518072291,0.0042168674698794964,0.851987951807229,0.004216867469879522,0.9905653093601269,0.011509675764582358,0.7108433734939757,1.1158161231197418e-16,0.9931325301204817,0.008433734939759038,0.9873131078530993,0.0053971105324916195,0.9861503786709307,0.006934685757507418,0.8276832624636171,0.0040444085521494045,0.7338780999389055,0.010634300954520764,59.0,0.0,82.43,0.7000000000000001,0.57,0.7,24.0,0.0,166.0,0.0,0,0
Annotated,0.9970845481049563,0.75,0.9970760233918129,1.0,0.5,0.9475806451612903,0.9996752783324461,0.9985358711566618,0.7060722425473943,682,2,2,0,686,0.75,0.0,0.75,0.0,0.6666666666666669,2.2316322462394835e-16,1.0,0.0,0.5,0.0,0.95875,0.05973690211876972,0.9701666666666666,0.04306052431414132,0.7999999999999998,2.2316322462394835e-16,0.5773502691896258,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0,0
CDSATG,0.9279661016949152,0.9310503685503686,0.8736842105263158,0.9431818181818182,0.918918918918919,0.964757371007371,0.9633061435330177,0.907103825136612,0.8500781456806621,83,136,12,5,236,0.9308522727272727,0.009488789293456474,0.9308522727272727,0.009488789293456477,0.9207967765339099,0.017089254098196616,0.943181818181818,2.2316322462394835e-16,0.9185227272727272,0.018977578586912933,0.9649573863636364,0.0029729976426071955,0.9747769405816744,0.0026848617969738135,0.9317755532373478,0.008740840309173447,0.8621121924801619,0.01859877211132757,83.0,0.0,80.83,1.6700269156483372,7.17,1.6700269156483374,5.0,0.0,176.0,0.0,0,0
CDSnonATG,0.9742990654205608,0.6240906113160708,0.2727272727272727,0.2608695652173913,0.9873116574147502,0.7109609350756818,0.24768447402967378,0.26666666666666666,0.25365846683414434,6,1245,16,17,1284,0.6249999999999999,0.010421140987850042,0.6249999999999999,0.01042114098785005,0.965,0.06598679302903616,0.26086956521739124,5.579080615598709e-17,0.9891304347826088,0.020842281975700094,0.70765595463138,0.0471212022317894,0.7562473583337272,0.040895493627034304,0.4103626251390435,0.006547274555013349,0.3663569232656067,0.03977214883945959,6.0,0.0,22.75,0.4793724854411023,0.25,0.4793724854411023,17.0,0.0,46.0,0.0,0,0
all,0.980630582158614,0.9655843369225856,0.8950563746747615,0.9459211732355637,0.9852475006096074,0.9930522076505004,0.9709267001432225,0.9197860962566845,0.9092300041518517,1032,8081,121,59,9293,0.9656324472960586,0.0015842298543757172,0.9656324472960586,0.0015842298543757205,0.9847528217749333,0.0032463639814646525,0.9459211732355635,2.2316322462394835e-16,0.9853437213565538,0.0031684597087514427,0.9930785251549843,0.0005578684503279408,0.9938191571003061,0.0006213477501931397,0.9649438918363517,0.0015589898674287477,0.9319944458921267,0.0032866566020561773,1032.0,0.0,1075.01,3.4567895422478268,15.99,3.4567895422478268,59.0,0.0,2182.0,0.0,0,0
non-annotated,0.9793191588242128,0.9206149928630694,0.746268656716418,0.8557457212713936,0.985484264454745,0.9822103130884687,0.8633501605847916,0.7972665148063781,0.7884698508669846,350,8079,119,59,8607,0.9199877750611246,0.003163034779189091,0.9199877750611246,0.003163034779189084,0.981955966115055,0.0071071441299625105,0.8557457212713935,1.1158161231197418e-16,0.9842298288508557,0.006326069558378165,0.9818631524201793,0.002442092137477477,0.9830435248042396,0.0027438248734812155,0.914505071644212,0.003086939403607302,0.8470188840607321,0.007069763687602624,350.0,0.0,402.55,2.5873624493766703,6.45,2.5873624493766707,59.0,0.0,818.0,0.0,0,0
3UTRATG,0.8571428571428571,0.8571428571428571,0.0,0.0,0.8571428571428571,,,0.0,0.0,0,12,2,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
3UTRnonATG,0.9772727272727273,0.4942528735632184,0.0,0.0,0.9885057471264368,0.9655172413793104,0.25,0.0,-0.011494252873563218,0,86,1,1,88,0.495,0.049999999999999996,0.495,0.049999999999999996,0.0,0.0,0.0,0.0,0.99,0.09999999999999999,0.96,0.19694638556693236,0.98,0.09847319278346618,0.0,0.0,-0.01,0.09999999999999999,0.0,0.0,0.99,0.09999999999999999,0.01,0.09999999999999999,1.0,0.0,2.0,0.0,0,1
5UTRATG,0.9126016260162602,0.915450928381963,0.8648648648648649,0.9655172413793104,0.8653846153846154,0.9845159151193634,0.9839660769731107,0.9124236252545825,0.830715958044469,224,225,35,8,492,0.9154741379310343,0.0035403821263524293,0.9154741379310343,0.0035403821263524315,0.8777102322238034,0.005660592878776129,0.9655172413793105,1.1158161231197418e-16,0.8654310344827585,0.00708076425270487,0.9844582342449466,0.0007891914432114605,0.9854385010097502,0.0007797183698550761,0.9195128422464299,0.0031033818518882246,0.8351582844705616,0.006523919876473836,224.0,0.0,200.78,1.6427373066275264,31.22,1.6427373066275264,8.0,0.0,464.0,0.0,0,1
5UTRnonATG,0.9872319528564413,0.8830969752732236,0.5757575757575758,0.7755102040816326,0.9906837464648145,0.9663185520423442,0.6917442153907146,0.6608695652173913,0.6620587458717919,76,5955,56,22,6109,0.8832653061224489,0.004602418006108439,0.8832653061224489,0.00460241800610845,0.9886869733641886,0.011483797002535863,0.7755102040816323,3.3474483693592255e-16,0.9910204081632653,0.009204836012216893,0.9662473969179508,0.004891829546450232,0.9740305605413729,0.006686053543532672,0.8691902203602189,0.0044631419070039514,0.7850346799185465,0.011008609126594177,76.0,0.0,97.12,0.9020739291972546,0.88,0.9020739291972547,22.0,0.0,196.0,0.0,0,1
Annotated,0.9970104633781763,0.6666666666666666,0.9970059880239521,1.0,0.3333333333333333,1.0,1.0,0.9985007496251874,0.5764853244804393,666,1,2,0,669,0.6666666666666669,2.2316322462394835e-16,0.6666666666666669,2.2316322462394835e-16,0.6,0.0,1.0,0.0,0.3333333333333334,1.1158161231197418e-16,1.0,0.0,1.0,0.0,0.75,0.0,0.4472135954999581,1.6737241846796128e-16,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0,1
CDSATG,0.9027777777777778,0.8639189500345383,0.9065420560747663,0.9603960396039604,0.7674418604651163,0.9585539949343772,0.9815831282403383,0.9326923076923077,0.7623191510331582,97,33,10,4,144,0.8640697674418605,0.01176742700466371,0.8640697674418605,0.011767427004663718,0.8050309133813177,0.0038576318426507745,0.9606976744186048,0.023534854009327394,0.767441860465116,3.3474483693592255e-16,0.9593564088696594,0.010935202976962013,0.961425459678981,0.009598220398630232,0.8759187559256528,0.012080395540071193,0.7424772857802004,0.027480164655831345,41.31,1.0119987224010782,33.0,0.0,10.0,0.0,1.69,1.011998722401078,86.0,0.0,0,1
CDSnonATG,0.9597701149425287,0.6986531986531986,0.6875,0.4074074074074074,0.98989898989899,0.8830527497194164,0.5221131977457028,0.5116279069767442,0.5104753667043861,11,490,5,16,522,0.698703703703704,0.01048061490827874,0.698703703703704,0.010480614908278766,0.9782417582417583,0.04433369515296562,0.4074074074074073,1.1158161231197418e-16,0.99,0.020961229816557493,0.8821673525377232,0.03339215225117781,0.8898458544180999,0.03085709934451038,0.5749832625654194,0.008228801370881998,0.4897628081118161,0.033082660563340326,11.0,0.0,26.73,0.5659532050470519,0.27,0.5659532050470518,16.0,0.0,54.0,0.0,0,1
all,0.9798457327693456,0.9693049809537586,0.9063291139240506,0.9546666666666667,0.9839432952408506,0.9940546152980695,0.9799131972574302,0.9298701298701298,0.9185338335197342,1074,6802,111,51,8038,0.9691955555555556,0.0018532735283597682,0.9691955555555556,0.0018532735283597677,0.9832515366713099,0.003751358126425614,0.9546666666666666,1.1158161231197418e-16,0.9837244444444445,0.00370654705671954,0.9940325096296295,0.0005032685105502633,0.9949899310589779,0.000575351952935602,0.9687447936984629,0.0018212782456838521,0.9387943268663382,0.003808281697902861,1074.0,0.0,1106.69,4.169865438809481,18.31,4.16986543880948,51.0,0.0,2250.0,0.0,0,1
non-annotated,0.9782874202741213,0.9365573243286702,0.7891682785299806,0.8888888888888888,0.9842257597684515,0.9859182328663899,0.9126613079879415,0.8360655737704918,0.8261572005633583,408,6801,109,51,7369,0.9367647058823529,0.0028396615089997302,0.9367647058823526,0.002839661508999727,0.9830524323966411,0.006165849010093695,0.888888888888889,1.1158161231197418e-16,0.9846405228758173,0.005679323017999472,0.9858694424271767,0.0016639536487083135,0.9877534938346068,0.0021889195709648944,0.9335932509242832,0.00278253807016829,0.8775791898168646,0.006183398821335695,408.0,0.0,451.95,2.606809265261758,7.05,2.606809265261758,51.0,0.0,918.0,0.0,0,1
3UTRATG,0.631578947368421,0.8055555555555556,0.125,1.0,0.6111111111111112,1.0,1.0,0.2222222222222222,0.2763853991962833,1,11,7,0,19,0.815,0.24261829354695488,0.815,0.24261829354695488,0.815,0.24261829354695488,1.0,0.0,0.63,0.4852365870939097,1.0,0.0,1.0,0.0,0.8766666666666667,0.1617455290313033,0.63,0.4852365870939097,1.0,0.0,0.63,0.4852365870939097,0.37,0.4852365870939097,0.0,0.0,2.0,0.0,0,2
3UTRnonATG,0.9947368421052631,0.5,0.0,0.0,1.0,0.8677248677248677,0.038461538461538464,0.0,0.0,0,189,0,1,190,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.88,0.32659863237109044,0.94,0.16329931618554522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,2
5UTRATG,0.8153526970954357,0.8333333333333333,0.7072368421052632,1.0,0.6666666666666666,0.9804024039717795,0.9763949684825229,0.8285163776493256,0.6866521885716054,215,178,89,0,482,0.8330465116279071,0.0070993456036038925,0.8330465116279071,0.0070993456036038995,0.7497618924308085,0.008012606248883268,1.0,0.0,0.6660930232558138,0.014198691207207799,0.9802433747971875,0.0015572204220708574,0.9804247443553235,0.0015592691680009153,0.856963650570179,0.005224933873293926,0.7066804464972557,0.011305286153231222,215.0,0.0,143.21,3.052718609549676,71.79,3.0527186095496766,0.0,0.0,430.0,0.0,0,2
5UTRnonATG,0.9823135755258127,0.9047647252166049,0.45977011494252873,0.8247422680412371,0.9847871823919728,0.9875834844660081,0.7006373687241704,0.5904059040590406,0.6082286759473996,80,6085,94,17,6276,0.9053608247422682,0.0053598634179991495,0.9053608247422682,0.005359863417999198,0.9834427916855186,0.012537813591684344,0.8247422680412371,0.0,0.985979381443299,0.010719726835998348,0.9885588266553299,0.004226279233741854,0.9879715501177665,0.0051797834668629176,0.8970922699442615,0.005223704996588966,0.8215407248238392,0.012306520395772229,80.0,0.0,95.64,1.0398135030918385,1.36,1.0398135030918385,17.0,0.0,194.0,0.0,0,2
Annotated,0.9970149253731343,0.4992526158445441,0.9985052316890882,0.9985052316890882,0.0,0.9985052316890882,0.999997769002521,0.9985052316890882,-0.0014947683109118087,668,0,1,1,670,0.49,0.07035264706814483,0.49,0.07035264706814483,0.49,0.07035264706814483,0.98,0.14070529413628965,0.0,0.0,0.98,0.14070529413628965,0.99,0.07035264706814483,0.6533333333333334,0.09380352942419311,-0.02,0.14070529413628965,0.98,0.14070529413628965,0.0,0.0,1.0,0.0,0.02,0.14070529413628965,2.0,0.0,0,2
